Serial Number,Roll Number,Name,Father Name,Admission Year,Category,Gender,Grade,City,Standard,Hindi Marks,English Marks,Science Marks,Maths Marks,Drawing Marks,Total Marks,Percentage
11223036,R1035,Aman,Mahesh,2002,BC,F,A,Gurgaon,6th,53,1,84,55,9,202,40.4
11223037,R1036,Kamal,Suresh,2001,SC,M,B,Sonipat,7th,73,78,90,51,50,342,68.4
11223038,R1037,Anjali,Prakash,2004,SC,F,B,Jhajjar,,8,90,8,4,76,186,37.2
11223039,R1038,Aman,Mukesh,2007,BC,M,A,Hisar,12th,81,66,9,35,36,227,45.4
11223040,R1039,Suman,Suresh,2003,OBC,M,B,Kurukshetra,7th,47,43,94,87,6,277,55.4
11223041,R1040,Mohit,Suresh,2005,SC,F,A,Kurukshetra,6th,89,46,23,16,29,203,40.6
11223042,R1041,Mohit,Naresh,2009,GNRL,M,B,Sonipat,11th,55,21,35,18,30,159,31.8
11223043,R1042,Pooja,Satish,2005,GNRL,F,B,Ambala,11th,12,92,64,51,8,227,45.4
11223044,R1043,Suman,Ramesh,2005,BC,M,B,Ambala,7th,46,100,29,94,25,294,58.8
11223045,R1044,Pooja,Dinesh,2002,SC,F,A,Rohtak,7th,19,98,44,96,34,291,58.2
11223046,R1045,Anjali,Prakash,2006,OBC,F,D,Hisar,7th,32,86,46,81,100,345,69
11223047,R1046,Neha,Naresh,2009,SC,M,A,Gurgaon,7th,38,34,66,95,99,332,66.4
11223048,R1047,Vikas,Naresh,2005,SC,M,C,Rohtak,12th,78,24,20,76,55,253,50.6
11223049,R1048,Vikas,Rajesh,2001,SC,M,C,Jhajjar,8th,88,88,43,90,92,401,80.2
11223050,R1049,Anjali,Dinesh,2007,SC,M,B,Kurukshetra,11th,92,28,84,33,67,304,60.8
11223051,R1050,Anjali,Mahesh,2006,SC,F,B,Karnal,9th,3,28,51,30,84,196,39.2
11223052,R1051,Neha,Suresh,2008,SC,F,C,Faridabad,7th,13,30,6,81,2,132,26.4
11223053,R1052,Anjali,Prakash,2009,BC,M,D,Panipat,9th,67,40,9,58,55,229,
11223054,R1053,Kamal,Satish,2002,OBC,M,C,Gurgaon,8th,77,100,75,20,20,292,58.4
11223055,R1054,Ravi,Naresh,2003,BC,F,B,Karnal,11th,13,74,86,78,92,343,68.6
11223056,R1055,Ravi,Suresh,2006,OBC,F,B,Ambala,9th,82,96,37,8,52,275,55
11223057,R1056,Ravi,Naresh,2003,OBC,M,A,Gurgaon,6th,62,32,37,65,82,278,55.6
11223058,R1057,Kamal,Lokesh,2008,SC,F,D,Kurukshetra,8th,25,17,46,20,51,159,31.8
11223059,R1058,Suman,Satish,2007,BC,F,C,Faridabad,7th,57,4,17,18,98,194,38.8
11223060,R1059,Aman,Lokesh,2000,BC,F,B,Kurukshetra,12th,55,13,95,19,17,199,39.8
11223061,R1060,Anjali,Lokesh,2000,GNRL,M,A,Karnal,6th,95,100,90,29,88,402,80.4
11223062,R1061,Ravi,Rajesh,2006,GNRL,M,B,Hisar,7th,15,9,12,0,33,69,13.8
11223063,R1062,Ravi,Naresh,2001,SC,F,A,Faridabad,11th,7,32,40,71,98,248,49.6
11223064,R1063,Pooja,Suresh,2007,OBC,F,B,Karnal,9th,51,53,57,42,17,220,44
11223065,R1064,Suman,Mahesh,2001,SC,M,B,Hisar,11th,71,96,85,76,7,335,67
11223066,R1065,Deepak,Lokesh,2002,BC,M,C,Sonipat,11th,38,56,84,38,21,237,47.4
11223067,R1066,Aman,Suresh,2007,BC,F,B,Faridabad,11th,59,25,9,84,,200,40
11223068,R1067,Aman,Suresh,2005,GNRL,M,B,Faridabad,8th,,59,2,90,29,194,38.8
11223069,R1068,Anjali,Dinesh,2009,SC,M,B,Rohtak,7th,53,88,63,47,17,268,53.6
11223070,R1069,Vikas,Prakash,2006,BC,M,D,Hisar,8th,,97,4,40,11,234,46.8
11223071,R1070,Suman,Suresh,2004,GNRL,F,B,Panipat,8th,86,48,17,67,39,257,51.4
11223072,R1071,Neha,Dinesh,2000,GNRL,F,D,Faridabad,12th,27,53,8,6,12,106,21.2
11223073,R1072,Kamal,Mukesh,2006,GNRL,F,A,Faridabad,6th,96,81,81,19,11,288,57.6
11223074,R1073,Neha,Suresh,2006,GNRL,F,C,Karnal,6th,17,53,14,7,70,161,32.2
11223075,R1074,Kamal,Ramesh,2001,OBC,F,A,Ambala,,55,27,20,67,92,261,52.2
11223076,R1075,Aman,Mukesh,2009,GNRL,F,A,Ambala,7th,79,82,63,52,11,287,57.4
11223077,R1076,Neha,Satish,2009,GNRL,M,B,Kurukshetra,7th,100,83,55,73,44,355,71
11223078,R1077,Ravi,Suresh,2000,SC,M,A,Sonipat,12th,69,88,63,53,16,289,57.8
11223079,R1078,Pooja,Lokesh,2005,OBC,F,C,Ambala,6th,72,39,26,42,64,243,48.6
11223080,R1079,Neha,Prakash,2009,BC,M,B,Jhajjar,9th,88,26,49,77,98,338,67.6
11223081,R1080,Vikas,Mukesh,2005,OBC,M,C,Ambala,9th,14,43,61,57,67,242,48.4
11223082,R1081,Ravi,Ramesh,2006,BC,M,C,Hisar,12th,11,80,28,100,58,277,55.4
11223083,R1082,Vikas,Naresh,2000,OBC,F,B,Kurukshetra,8th,29,58,15,91,56,249,49.8
11223084,R1083,Neha,Rajesh,2001,GNRL,M,A,Jhajjar,12th,1,58,55,34,42,190,38
11223085,R1084,Neha,Dinesh,2000,BC,F,A,Kurukshetra,6th,7,52,38,24,48,169,33.8
11223086,R1085,Vikas,Lokesh,2005,GNRL,M,C,Sonipat,12th,22,45,28,63,94,252,50.4
11223087,R1086,Mohit,Suresh,2002,GNRL,F,A,Jhajjar,9th,36,6,75,95,77,289,57.8
11223088,R1087,Neha,Naresh,2007,OBC,F,C,Hisar,7th,47,72,80,65,50,314,62.8
11223089,R1088,Anjali,Naresh,2000,GNRL,F,D,Sonipat,7th,85,21,82,41,14,243,48.6
11223090,R1089,Aman,,2007,BC,F,C,Panipat,6th,62,55,58,40,13,228,45.6
11223091,R1090,Pooja,Lokesh,2005,OBC,M,D,Karnal,7th,32,26,7,26,73,164,32.8
11223092,R1091,Pooja,Prakash,2008,BC,F,A,Faridabad,12th,17,23,9,0,14,63,12.6
11223093,R1092,Pooja,Mahesh,2000,GNRL,M,D,Karnal,8th,79,50,27,55,1,212,42.4
11223094,R1093,Kamal,Satish,2003,GNRL,M,B,Hisar,12th,14,39,15,99,29,196,39.2
11223095,R1094,Deepak,Mukesh,2008,OBC,F,A,Hisar,6th,7,30,63,23,91,214,42.8
11223096,R1095,Suman,Mukesh,2008,SC,F,D,Karnal,9th,6,49,49,57,62,223,44.6
11223097,R1096,Anjali,Lokesh,2002,OBC,M,D,Karnal,12th,65,18,90,49,18,240,48
11223098,R1097,Suman,Dinesh,2002,GNRL,M,D,Jhajjar,9th,99,8,97,59,65,328,65.6
11223099,R1098,Mohit,Mukesh,2009,SC,M,A,Hisar,6th,99,81,55,37,33,305,61
11223100,R1099,Pooja,Rajesh,2009,BC,F,A,Sonipat,8th,92,62,87,42,64,347,69.4
11223101,R1100,Ravi,Prakash,2007,GNRL,M,C,Panipat,8th,12,45,61,33,79,230,46
11223102,R1101,Pooja,Mukesh,2004,SC,,C,Gurgaon,12th,54,28,60,10,49,201,40.2
11223103,R1102,Ravi,Prakash,2006,BC,M,D,Kurukshetra,6th,62,34,87,97,79,359,71.8
11223104,R1103,Pooja,Ramesh,2002,,F,C,Rohtak,8th,48,66,29,91,53,287,57.4
11223105,R1104,Aman,Ramesh,2009,BC,F,A,Faridabad,8th,46,91,27,67,8,239,47.8
11223106,R1105,Deepak,Satish,2009,GNRL,M,D,Gurgaon,11th,87,32,90,45,69,323,64.6
11223107,R1106,Anjali,Naresh,2008,SC,F,D,Ambala,11th,71,9,28,7,11,126,25.2
11223108,R1107,Aman,Naresh,2005,GNRL,M,D,Panipat,12th,85,23,47,34,35,224,44.8
11223109,R1108,Anjali,Rajesh,2009,OBC,M,A,Kurukshetra,8th,37,35,5,80,51,208,41.6
11223110,R1109,Kamal,Suresh,2000,BC,F,D,Kurukshetra,11th,47,90,38,69,49,293,58.6
11223111,R1110,Kamal,Prakash,2007,SC,F,A,Gurgaon,7th,0,94,65,59,35,253,50.6
11223112,R1111,Pooja,Mukesh,2003,BC,M,B,Jhajjar,8th,87,79,44,57,18,285,57
11223113,R1112,Vikas,Dinesh,2002,SC,F,D,Rohtak,9th,67,13,87,18,92,,55.4
11223114,R1113,Aman,Prakash,2000,SC,F,C,Hisar,7th,35,89,36,40,11,211,42.2
11223115,R1114,Pooja,Ramesh,2007,SC,M,D,Ambala,12th,15,35,19,65,76,210,42
11223116,R1115,Suman,Suresh,2004,GNRL,F,A,Ambala,12th,0,43,32,71,100,246,49.2
11223117,R1116,Aman,Mahesh,2002,BC,F,C,Gurgaon,7th,31,90,20,87,58,286,57.2
11223118,R1117,Deepak,Prakash,2009,OBC,M,B,Panipat,7th,47,60,29,23,26,185,37
11223119,R1118,Pooja,Naresh,2003,,F,C,Rohtak,9th,94,12,53,76,1,236,47.2
11223120,R1119,Kamal,Lokesh,2007,OBC,F,C,Jhajjar,9th,80,58,26,1,26,191,38.2
11223121,R1120,Ravi,Lokesh,2004,SC,F,C,Jhajjar,12th,6,65,28,53,66,218,43.6
11223122,R1121,Kamal,Suresh,2006,SC,F,D,Panipat,7th,34,24,28,62,91,239,47.8
11223123,R1122,Deepak,Suresh,2005,BC,M,B,Gurgaon,6th,57,84,29,36,0,206,41.2
11223124,R1123,Vikas,Ramesh,2006,SC,F,D,Gurgaon,7th,23,81,41,8,95,248,49.6
11223125,R1124,Ravi,Mukesh,2009,SC,F,A,Faridabad,12th,15,78,40,1,21,155,31
11223126,R1125,Mohit,Satish,2008,SC,M,A,Rohtak,8th,9,13,54,25,86,187,37.4
11223127,R1126,Deepak,Mukesh,2004,SC,F,A,Jhajjar,6th,42,48,1,10,59,160,32
11223128,R1127,Aman,Satish,2007,GNRL,M,C,Panipat,9th,97,17,26,39,64,243,48.6
11223129,R1128,Ravi,Mahesh,2001,,M,C,Ambala,6th,85,6,92,46,71,300,60
11223130,R1129,Neha,Lokesh,2000,OBC,M,C,Ambala,7th,,38,27,14,6,162,32.4
11223131,R1130,Kamal,Dinesh,2000,OBC,F,D,Hisar,9th,45,61,86,37,24,253,50.6
11223132,R1131,Mohit,Mahesh,2008,OBC,M,A,Karnal,6th,98,26,77,39,55,295,59
11223133,R1132,Aman,Satish,2000,BC,M,C,Panipat,6th,13,51,63,39,96,262,52.4
11223134,R1133,Pooja,Satish,2001,SC,F,A,Sonipat,11th,70,26,44,98,79,317,63.4
11223135,R1134,Ravi,Ramesh,2000,BC,F,D,Panipat,,46,53,43,2,87,231,46.2
11223136,R1135,Deepak,Lokesh,2003,BC,M,B,Rohtak,12th,68,27,37,34,6,172,34.4
11223137,R1136,Pooja,Mukesh,2001,BC,M,C,Hisar,8th,63,20,54,70,0,207,41.4
11223138,R1137,Deepak,Rajesh,2007,OBC,F,D,Faridabad,11th,0,46,98,77,54,275,55
11223139,R1138,Deepak,Naresh,2004,OBC,M,B,Panipat,12th,0,64,6,51,72,193,38.6
11223140,R1139,Anjali,Ramesh,2001,BC,M,D,Gurgaon,11th,8,13,56,41,69,187,37.4
11223141,R1140,Aman,Ramesh,2001,BC,F,B,Karnal,6th,93,34,22,56,10,215,43
11223142,R1141,Ravi,Satish,2008,SC,F,D,Ambala,6th,50,45,79,56,32,262,52.4
11223143,R1142,Mohit,Prakash,2009,SC,F,D,Ambala,6th,49,33,39,22,3,146,29.2
11223144,R1143,Suman,Rajesh,2005,BC,M,B,Kurukshetra,9th,40,4,77,51,85,257,51.4
11223145,R1144,Anjali,Satish,2002,OBC,M,B,Rohtak,8th,18,28,0,74,59,179,35.8
11223146,R1145,Anjali,Suresh,2009,GNRL,F,A,Rohtak,6th,24,27,69,38,28,186,37.2
11223147,R1146,Vikas,Suresh,2002,OBC,M,A,Ambala,7th,42,27,47,71,87,274,54.8
11223148,R1147,Ravi,Suresh,2008,GNRL,,D,Hisar,7th,86,50,99,38,3,276,55.2
11223149,R1148,Ravi,Prakash,2002,SC,M,D,Panipat,12th,75,2,44,70,1,192,38.4
11223150,R1149,Kamal,Dinesh,2009,BC,F,A,Kurukshetra,6th,68,50,1,31,2,152,30.4
11223151,R1150,Pooja,Rajesh,2000,BC,M,C,Faridabad,9th,57,35,30,45,19,186,37.2
11223152,R1151,Aman,Satish,2003,OBC,M,A,Rohtak,7th,80,41,53,94,3,271,54.2
11223153,R1152,Ravi,Prakash,2007,OBC,F,B,Gurgaon,12th,16,83,80,42,63,284,56.8
11223154,R1153,Anjali,Rajesh,2008,BC,F,B,Panipat,11th,49,15,94,68,83,309,61.8
11223155,R1154,Vikas,Naresh,2009,BC,M,B,Kurukshetra,9th,,35,69,51,88,317,63.4
11223156,R1155,Mohit,Rajesh,2005,SC,M,C,Kurukshetra,7th,25,16,95,36,6,178,35.6
11223157,R1156,Pooja,Lokesh,2004,OBC,F,D,Rohtak,7th,51,38,9,60,4,162,32.4
11223158,R1157,Neha,Prakash,2000,GNRL,M,B,Gurgaon,12th,71,74,22,13,58,238,47.6
11223159,R1158,Kamal,Satish,2008,,F,B,Kurukshetra,9th,87,95,98,62,79,421,84.2
11223160,R1159,Ravi,Dinesh,2002,SC,F,B,Panipat,6th,78,9,52,34,94,267,53.4
11223161,R1160,Anjali,Naresh,2001,BC,M,C,Hisar,11th,3,63,15,21,96,198,39.6
11223162,R1161,Kamal,Satish,2004,BC,M,C,Jhajjar,9th,68,21,32,97,99,317,63.4
11223163,R1162,Pooja,Satish,2003,GNRL,F,B,Panipat,8th,18,7,38,86,45,194,38.8
11223164,R1163,Vikas,Ramesh,2009,SC,M,C,Kurukshetra,6th,34,37,40,91,,290,58
11223165,R1164,Mohit,Dinesh,2007,SC,M,D,Jhajjar,11th,69,50,55,47,55,276,55.2
11223166,R1165,Anjali,Suresh,,GNRL,M,D,Karnal,6th,98,39,75,52,73,337,67.4
11223167,R1166,Mohit,Mukesh,2005,GNRL,M,D,Hisar,9th,31,1,5,68,88,193,38.6
11223168,R1167,Neha,Dinesh,2003,GNRL,F,B,Jhajjar,12th,12,75,10,31,36,164,32.8
11223169,R1168,Suman,Mukesh,2009,SC,M,D,Kurukshetra,6th,2,60,25,85,100,272,54.4
11223170,R1169,Kamal,Satish,2005,OBC,M,A,Hisar,7th,90,44,49,50,87,320,64
11223171,R1170,Anjali,Mahesh,2008,SC,F,D,Ambala,8th,11,14,24,89,46,184,36.8
11223172,R1171,Aman,Satish,2001,SC,M,C,Faridabad,6th,98,26,14,8,35,181,36.2
11223173,R1172,Mohit,Rajesh,2006,OBC,F,B,Faridabad,9th,84,27,35,7,100,253,50.6
11223174,R1173,Neha,Naresh,2002,SC,M,D,Rohtak,12th,45,8,6,52,25,136,27.2
11223175,R1174,Neha,Prakash,2008,OBC,F,B,Kurukshetra,7th,51,94,100,9,19,273,54.6
11223176,R1175,Neha,Suresh,2000,BC,F,D,Karnal,8th,60,22,89,99,92,362,72.4
11223177,R1176,Ravi,Satish,2008,GNRL,F,B,Faridabad,6th,23,11,17,75,84,210,42
11223178,R1177,Mohit,Mahesh,2004,OBC,M,A,Gurgaon,9th,20,100,37,100,100,357,71.4
11223179,R1178,Mohit,Naresh,2000,SC,F,C,Ambala,8th,18,84,64,10,51,227,45.4
11223180,R1179,Deepak,Prakash,2001,BC,F,D,Hisar,12th,52,67,31,65,44,259,51.8
11223181,R1180,Aman,Satish,2007,SC,M,D,Kurukshetra,8th,16,18,45,80,76,235,47
11223182,R1181,Mohit,Mukesh,2005,OBC,M,D,Panipat,9th,52,58,17,79,53,259,51.8
11223183,R1182,Suman,Mahesh,2006,BC,F,A,Jhajjar,9th,34,66,65,56,9,230,46
11223184,R1183,Neha,Rajesh,2009,GNRL,M,A,Ambala,11th,91,48,96,9,1,245,49
11223185,R1184,Vikas,Dinesh,2008,GNRL,M,B,,11th,49,13,55,17,99,233,46.6
11223186,R1185,Neha,Suresh,2008,BC,M,B,Karnal,6th,38,17,88,2,92,237,47.4
11223187,R1186,Suman,Rajesh,2000,BC,F,A,Sonipat,7th,48,34,45,70,99,296,59.2
11223188,R1187,Aman,Dinesh,2009,GNRL,F,D,Karnal,7th,57,3,33,28,39,160,32
11223189,R1188,Anjali,Prakash,2000,GNRL,F,D,Ambala,11th,87,41,25,61,85,299,59.8
11223190,R1189,Mohit,Satish,2007,GNRL,M,D,Faridabad,12th,54,44,9,79,25,211,42.2
11223191,R1190,Anjali,Mahesh,2008,SC,M,D,Gurgaon,11th,68,97,17,57,93,332,66.4
11223192,R1191,Ravi,Naresh,2000,GNRL,F,D,Sonipat,7th,95,62,39,36,20,252,50.4
11223193,R1192,Aman,Lokesh,2009,BC,F,B,Hisar,9th,77,15,50,0,54,196,39.2
11223194,R1193,Vikas,Lokesh,2009,OBC,F,B,Hisar,9th,58,52,47,45,21,223,44.6
11223195,R1194,Neha,Ramesh,2003,SC,M,C,Sonipat,7th,62,6,97,34,21,220,44
11223196,R1195,Neha,Lokesh,2004,BC,F,B,Sonipat,7th,92,76,13,98,92,371,74.2
11223197,R1196,Mohit,Mukesh,2001,OBC,M,C,Hisar,8th,33,73,39,22,50,217,43.4
11223198,R1197,Mohit,Mahesh,2002,GNRL,M,B,Rohtak,11th,87,55,10,94,96,342,68.4
11223199,R1198,Deepak,Rajesh,2008,BC,M,D,Hisar,8th,42,12,64,100,64,282,56.4
11223200,R1199,Vikas,Prakash,2004,GNRL,F,A,Kurukshetra,9th,80,100,47,4,81,312,62.4
11223201,R1200,Anjali,Rajesh,2006,OBC,M,D,Faridabad,11th,14,66,1,13,18,112,22.4
11223202,R1201,Ravi,Mukesh,2004,BC,M,B,Hisar,8th,21,100,66,50,,264,52.8
11223203,R1202,Deepak,Rajesh,2005,SC,F,C,Kurukshetra,12th,68,70,26,1,80,245,49
11223204,R1203,Ravi,Ramesh,2006,GNRL,F,A,Sonipat,8th,97,29,2,68,11,207,41.4
11223205,R1204,Neha,Mukesh,2009,OBC,M,D,Ambala,11th,28,61,67,16,81,253,50.6
11223206,R1205,Pooja,Lokesh,2004,SC,F,A,Rohtak,12th,7,9,52,68,90,226,45.2
11223207,R1206,Mohit,Naresh,2003,GNRL,F,B,Rohtak,11th,4,2,63,76,52,197,39.4
11223208,R1207,Mohit,Rajesh,2009,SC,M,C,Panipat,7th,70,77,94,39,44,324,64.8
11223209,R1208,Mohit,Prakash,2007,OBC,M,B,Ambala,7th,,66,77,10,7,197,39.4
11223210,R1209,Pooja,Satish,2004,OBC,M,C,Ambala,12th,8,74,61,9,83,235,47
11223211,R1210,Suman,Suresh,2006,BC,F,C,Faridabad,11th,66,45,18,88,80,297,59.4
11223212,R1211,Ravi,Rajesh,2007,OBC,M,A,Gurgaon,8th,35,25,66,9,55,190,38
11223213,R1212,Vikas,Mahesh,2007,GNRL,M,B,Gurgaon,11th,78,36,17,25,52,208,41.6
11223214,R1213,Pooja,Naresh,2008,GNRL,M,A,Karnal,9th,62,45,96,2,68,273,54.6
11223215,R1214,Neha,Dinesh,2007,BC,F,C,Jhajjar,7th,95,41,51,20,20,227,45.4
11223216,R1215,Suman,Naresh,2006,OBC,M,A,Rohtak,11th,65,11,18,91,48,233,46.6
11223217,R1216,Mohit,Rajesh,2002,SC,M,B,Gurgaon,7th,49,7,15,59,22,152,30.4
11223218,R1217,Deepak,Dinesh,2008,GNRL,M,B,Faridabad,11th,88,33,68,21,41,251,50.2
11223219,R1218,Neha,Satish,2009,OBC,F,B,Panipat,9th,16,25,46,21,18,126,25.2
11223220,R1219,Vikas,Suresh,2009,BC,F,B,Kurukshetra,11th,19,27,46,66,73,231,46.2
11223221,R1220,Pooja,Mukesh,2002,SC,F,A,Gurgaon,9th,94,65,67,13,49,288,57.6
11223222,R1221,Suman,Rajesh,2006,GNRL,F,D,Jhajjar,12th,25,51,78,19,100,273,54.6
11223223,R1222,Aman,Rajesh,2000,BC,F,A,Hisar,7th,77,3,18,83,34,215,43
11223224,R1223,Ravi,Mahesh,2006,GNRL,M,C,Panipat,8th,27,31,32,39,69,198,39.6
11223225,R1224,Vikas,Lokesh,2000,OBC,M,C,Gurgaon,12th,74,20,60,18,97,269,53.8
11223226,R1225,Deepak,Suresh,2000,SC,M,A,Rohtak,7th,12,88,19,36,56,211,42.2
11223227,R1226,Vikas,Mukesh,2006,SC,F,C,Ambala,11th,15,57,18,34,94,218,43.6
11223228,R1227,Aman,Suresh,2007,GNRL,F,B,Kurukshetra,11th,48,44,97,37,74,300,60
11223229,R1228,Suman,Suresh,2006,SC,,C,Faridabad,11th,65,41,9,73,75,263,52.6
11223230,R1229,Ravi,Dinesh,2000,GNRL,F,D,Faridabad,12th,23,30,12,44,15,124,24.8
11223231,R1230,Vikas,Prakash,2000,SC,F,C,Sonipat,6th,85,5,9,82,37,218,43.6
11223232,R1231,Anjali,Rajesh,2009,BC,M,B,Gurgaon,7th,87,4,7,49,73,220,44
11223233,R1232,Kamal,Suresh,2002,GNRL,M,C,Karnal,9th,55,80,11,14,62,222,44.4
11223234,R1233,Kamal,Naresh,2000,SC,F,A,Jhajjar,11th,10,6,84,45,54,199,39.8
11223235,R1234,Kamal,Dinesh,2008,OBC,M,A,Karnal,7th,20,95,6,82,87,290,58
11223236,R1235,Kamal,Rajesh,2000,GNRL,M,C,Rohtak,7th,26,8,4,51,55,144,28.8
11223237,R1236,Ravi,Lokesh,2006,OBC,F,D,Rohtak,11th,19,45,40,54,36,194,38.8
11223238,R1237,Anjali,Prakash,2005,BC,F,B,Hisar,9th,46,71,21,68,17,223,44.6
11223239,R1238,Kamal,Naresh,2001,OBC,F,D,Kurukshetra,9th,72,72,15,4,27,190,38
11223240,R1239,Aman,Naresh,2003,GNRL,F,B,Panipat,8th,50,16,14,98,79,257,51.4
11223241,R1240,Vikas,Suresh,2006,SC,M,B,Rohtak,12th,87,42,46,70,36,281,56.2
11223242,R1241,Ravi,Naresh,2009,OBC,F,A,Gurgaon,8th,78,87,93,26,68,352,70.4
11223243,R1242,Mohit,Naresh,2003,SC,F,C,Gurgaon,12th,79,28,17,8,2,134,26.8
11223244,R1243,Ravi,Mukesh,2003,OBC,M,B,Faridabad,7th,25,52,62,64,42,245,49
11223245,R1244,Ravi,Prakash,2008,SC,M,C,Hisar,8th,33,77,49,24,68,251,50.2
11223246,R1245,Ravi,Dinesh,2002,OBC,M,A,Ambala,12th,1,17,81,12,65,176,35.2
11223247,R1246,Pooja,Naresh,2003,BC,F,A,Sonipat,6th,57,53,61,92,46,309,61.8
11223248,R1247,Neha,Naresh,2003,GNRL,M,B,Rohtak,6th,79,50,74,48,94,345,69
11223249,R1248,Kamal,Lokesh,2003,OBC,M,B,Jhajjar,7th,24,86,40,1,0,151,30.2
11223250,R1249,Suman,Ramesh,2001,BC,M,B,Hisar,12th,85,54,15,51,28,233,46.6
11223251,R1250,Neha,Lokesh,2006,SC,F,B,Karnal,9th,79,3,81,13,40,216,43.2
11223252,R1251,Mohit,Suresh,2006,OBC,F,D,Sonipat,6th,77,6,46,71,21,221,44.2
11223253,R1252,Deepak,Suresh,2004,SC,M,A,Kurukshetra,6th,65,56,,14,16,244,48.8
11223254,R1253,Mohit,Mahesh,2004,OBC,F,D,Faridabad,11th,15,48,99,37,80,279,55.8
11223255,R1254,Deepak,Dinesh,2007,OBC,F,C,Hisar,8th,15,0,10,64,66,155,31
11223256,R1255,Vikas,Rajesh,2004,GNRL,M,A,Faridabad,11th,26,81,18,90,91,306,61.2
11223257,R1256,Mohit,Ramesh,2009,GNRL,M,D,Ambala,11th,67,62,0,82,24,235,47
11223258,R1257,Vikas,Satish,2006,GNRL,M,D,Hisar,11th,93,56,35,3,32,219,43.8
11223259,R1258,Pooja,Ramesh,2006,SC,F,B,Gurgaon,9th,6,84,4,66,30,190,38
